,key,year,title,author,abstract,hit
15,15,2021,Youth mentoring across professional settings: A pedagogic approach to social inclusion,"Morgan, S.T.","Youth mentoring is often used to engage increasing numbers of disaffected and marginalised young people. As such, this research explores the extent to which key workers, across a range professional settings, adopt and integrate mentoring practices into their primary role.The research suggests that key workers recognise an informal and caring dimension to their primary role and use the term mentoring to capture the diversity of this activity. However, the attempt to facilitate integration into mainstream values and norms suggests that key workers and youngsters are actually engaged in a form of social pedagogy; undertaking social action to promote the personal development and general wellbeing of the youngster.As a piece of qualitative action research - based primarily on semi-structured interviews with key workers and young people - this inquiry also explores the extent to which practitioner mentoring, or social pedagogy, is successful as a transformation strategy - that is, the extent to which young people alter their attitudes, behaviours and beliefs as a result of being supported in this manner.The findings suggest that the informality of the interactions, a shared activity, the strength of the relationships and the duration of contact, are important aspects of social pedagogy/youth mentoring. The research has clear implications for practitioners, since the development of a 'pedagogic perspective' introduces a body of social theory into work previously undertaken intuitively. This, in turn, requires practitioners across professional settings to; engage with 'clients' on an a personal level to build trust and rapport, develop pedagogic opportunities that facilitate access to mainstream activities and, finally, maintain meaningful relationships until social inclusion is secure. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",@
16,16,2015,Youth finding meaning through a larger sense of community,"Flanagan, C.","In his 1998 book, The Corrosion of Character, Richard Sennett observed the following: Adjustment and change is woven through human history. Natural disasters, wars, economic depressions have upset the status quo and engendered anxieties. Sennett proposed a collective solution to this state of precarity: A larger sense of community, and a fuller sense of character, is required by the increasing number of people who, in modern capitalism, are doomed to fail. This article begins with a discussion of the implications of the new economy for mental health and draws from Sennett's first image in which individuals are on their own to manage lives made precarious by flexible capital. The remainder of the article draws examples from my program of work on adolescents' political theories and interpretations of the social contract that binds them with fellow members of their society. The case is made that civic engagement is beneficial for young people and for democracy, and draws attention to the practices in developmental settings that enable adolescents to experience a larger sense of community. Rational choice models of human behavior reflect a rather negative view of human beings-that people are driven by self-interest and will make decisions that maximize benefits to the self at the expense of benefits to others or to the common good. Both individuals and society benefit when teenagers feel like they are connected to other people and institutions in their community. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",@
17,17,2017,"Youth and the great recession: Are values, achievement orientation and outlook to the future affected?","Schoon, I. and J. Mortimer","This special section brings together leading experts in psychology and sociology to examine the consequences of the Great Recession for young people's values, achievement orientation, and outlook to the future. Evidence from Europe and the United States suggests that the impact of the recession varies for distinct outcomes and by age, the latter pointing to potential sensitive periods for interventions. Although the direct effects of the recession are not strong, they accelerate pre-existing trends towards more prolonged and precarious transitions to independence, and are likely to bring with them long-term scarring with respect to health and well-being. While feelings of self-confidence and self-worth have eroded, young people continue to subscribe to the ""American Dream,"" the belief that in principle it is possible to make it-even if limitations to one's own capabilities are recognised. Trust in institutions has declined, but support and concern for others have increased, suggesting that in times of economic hardship and uncertainty social relationships become more salient. Young people's response to the recession appears to be less of a ""me-first"" reaction than ""let's help each other"": a form of ""collective agency"" to counter the inadequacy of social safety nets. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",@
18,18,2017,"Youth and the Great Recession: Are values, achievement orientation and outlook to the future affected?","Schoon, I. and J. Mortimer","This special section brings together leading experts in psychology and sociology to examine the consequences of the Great Recession for young people's values, achievement orientation, and outlook to the future. Evidence from Europe and the United States suggests that the impact of the recession varies for distinct outcomes and by age, the latter pointing to potential sensitive periods for interventions. Although the direct effects of the recession are not strong, they accelerate pre-existing trends towards more prolonged and precarious transitions to independence, and are likely to bring with them long-term scarring with respect to health and well-being. While feelings of self-confidence and self-worth have eroded, young people continue to subscribe to the ""American Dream,"" the belief that in principle it is possible to make it<U+00A0>-<U+00A0>even if limitations to one's own capabilities are recognised. Trust in institutions has declined, but support and concern for others have increased, suggesting that in times of economic hardship and uncertainty social relationships become more salient. Young people's response to the recession appears to be less of a ""me-first"" reaction than ""let's help each other"": a form of ""collective agency"" to counter the inadequacy of social safety nets.",+
19,19,2017,"Youth and the Great Recession: Are values, achievement orientation and outlook to the future affected?","Schoon, I. and J. Mortimer","This special section brings together leading experts in psychology and sociology to examine the consequences of the Great Recession for young people's values, achievement orientation, and outlook to the future. Evidence from Europe and the United States suggests that the impact of the recession varies for distinct outcomes and by age, the latter pointing to potential sensitive periods for interventions. Although the direct effects of the recession are not strong, they accelerate pre-existing trends towards more prolonged and precarious transitions to independence, and are likely to bring with them long-term scarring with respect to health and well-being. While feelings of self-confidence and self-worth have eroded, young people continue to subscribe to the ""American Dream,"" the belief that in principle it is possible to make it - even if limitations to one's own capabilities are recognised. Trust in institutions has declined, but support and concern for others have increased, suggesting that in times of economic hardship and uncertainty social relationships become more salient. Young people's response to the recession appears to be less of a ""me-first"" reaction than "" let's help each other"": a form of ""collective agency"" to counter the inadequacy of social safety nets.",+
20,20,2022,Youth and suicidality: Correlates among clients attending youth mental health promotion clinics in India,"Banandur, P., et al.","BACKGROUND: Suicidality among youth is one of the most challenging public health issues. A thorough understanding of the risk factors that contribute to youth suicidality is necessary. The main aim of the study is to estimate the proportion of suicidality and understand factors associated with suicidality amongst clients attending youth mental health promotion clinics in Karnataka, India. METHODS: A retrospective cross-sectional case record analysis was performed utilising data from real-time digitised management information system specifically developed for the programme. All case records of clients aged 15 to 35<U+2009>years who received mental health promotion (MHP) services between January 2017 and December 2020 across 30 districts of Karnataka were included in this analysis. Multivariate logistic regression analysis was performed with suicidality among clients as outcome. Socio-demographic characteristics, issues reported, feelings/emotions that indicate underlying mental health issue/crisis, being aware of suicidality among friends and family and personal habits (smoking/chewing tobacco and drinking alcohol) were considered potential exposure variables. FINDINGS: Overall proportion of suicidality among youth presenting to youth mental health promotion clinics in Karnataka was 3.5% (357/10,340). Among factors associated with suicidality, the strongest association was found among those clients who reported attempted suicide among friends (AOR 8.94; 95% CI 5.95-13.45), family members (AOR 5.50; 95% CI 3.66-8.29), being anxious (AOR 4.90; 95% CI 3.43-6.99), inability to trust anyone (AOR 4.07; 95% CI 2.75-6.03), had issues of Gender, Sex and Sexuality (AOR 3.16; 95% CI 1.93-5.17) and relationship issues (AOR 2.77; 95% CI 2.05-3.73). CONCLUSION: The results alert all institutions, organisations and departments that cater to services and development of youth, to be sensitive towards risk factors of suicidality. The study advocates youth mental health promotion clinics to be equipped with measures/interventions to identify and manage such risk factors. This study has implications for Youth mental health promotion in India and other similar South-East Asian countries.",@
21,21,-,Youth and suicidality: Correlates among clients attending youth mental health promotion clinics in India,"Banandur, P., et al.","Background: Suicidality among youth is one of the most challenging public health issues. A thorough understanding of the risk factors that contribute to youth suicidality is necessary. The main aim of the study is to estimate the proportion of suicidality and understand factors associated with suicidality amongst clients attending youth mental health promotion clinics in Karnataka, India. Methods: A retrospective cross-sectional case record analysis was performed utilising data from real-time digitised management information system specifically developed for the programme. All case records of clients aged 15 to 35 years who received mental health promotion (MHP) services between January 2017 and December 2020 across 30 districts of Karnataka were included in this analysis. Multivariate logistic regression analysis was performed with suicidality among clients as outcome. Socio-demographic characteristics, issues reported, feelings/emotions that indicate underlying mental health issue/crisis, being aware of suicidality among friends and family and personal habits (smoking/chewing tobacco and drinking alcohol) were considered potential exposure variables. Findings: Overall proportion of suicidality among youth presenting to youth mental health promotion clinics in Karnataka was 3.5% (357/10,340). Among factors associated with suicidality, the strongest association was found among those clients who reported attempted suicide among friends (AOR 8.94; 95% CI 5.95-13.45), family members (AOR 5.50; 95% CI 3.66-8.29), being anxious (AOR 4.90; 95% CI 3.43-6.99), inability to trust anyone (AOR 4.07; 95% CI 2.75-6.03), had issues of Gender, Sex and Sexuality (AOR 3.16; 95% CI 1.93-5.17) and relationship issues (AOR 2.77; 95% CI 2.05-3.73). Conclusion: The results alert all institutions, organisations and departments that cater to services and development of youth, to be sensitive towards risk factors of suicidality. The study advocates youth mental health promotion clinics to be equipped with measures/interventions to identify and manage such risk factors. This study has implications for Youth mental health promotion in India and other similar South-East Asian countries.",+
22,22,2013,Your smart phones are hot pockets to us: Context collapse in a mobilized age,"Marvin, C.","A key guarantor of social trust and a necessary feature of democratic societies is a stable sense of social distance. Social distance is the cultural imaginary within which an individual's coordinates of social status and contingent social location allow or inhibit contact with similarly and dissimilarly located others. The rearrangement of customary social distances by new communication technologies is a source of considerable social anxiety. In mobile communication, this context collapse is instigated by a distinctive combination of affordances: deep connectivity, the accelerated speed and volume of communicative exchange, enhanced social legibility and asymmetric communicative transparency. Robust and effective levels of social trust depend on a political will to build strong democratic accountability and civil rights guarantees into emerging mobile architectures. Identifying specific recalibrations of familiar social distances by regimes of mobile communication and assessing the effects of these recalibrations in democratic terms is a central task of mobile research.",@
23,23,2021,"Your ride has arrived-Exploring the nexus between subjective well-being, socio-cultural beliefs, COVID-19, and the sharing economy","Alharthi, M., et al.","This study aimed to identify and explain different facets of the sharing economy and to differentiate between micro- and macro-mobility services. We also aimed to examine the correlation between the sharing economy and subjective well-being, cultural beliefs, and COVID-19. An exploratory research technique with face-to-face semi-structured interviews was used to collect data from a sample of 22 rideshare app users in a developing country between January and May 2020 and in July 2020. The data were analyzed using the NVivo 12 application. The major findings suggest that, considering their scope and use, sharing economy technology and services can be divided into four major domains: (1) hospitality and dining, (2) retail and consumer goods, (3) media and entertainment, and (4) automotive and transportation. In ridesharing services, the well-being of users is influenced (and suppressed) by eight factors. In addition, socio-cultural beliefs are prevalent in developing markets, and the impact of COVID-19 on the sharing economy is evident. However, the pandemic has promoted the use of micro-mobility services. This study, which contributes to the existing knowledge on the theory of subjective well-being and cultural beliefs, has major theoretical and managerial implications and offers a rich future research agenda.",@
24,24,2014,"Your defiant teen: 10 steps to resolve conflict and rebuild your relationship., 2nd ed","Barkley, R.A., A.L. Robin, and C.M. Benton","If life with your teen has become a battleground, it's time to take action. This empathic book shows how. Trusted psychologists who have worked with thousands of families give you the tools you need to overcome defiance and get teen behavior back on track. By following the authors' clinically proven 10-step program, learn how you can: Reestablish your authority while building trust. Identify and enforce nonnegotiable rules. Use rewards and incentives that work. Communicate and problem-solve effectively-even in the heat of the moment. Restore positive feelings in your relationship. Develop your teen's skills for becoming a successful adult. Vivid stories and answers to frequently asked questions help you put the techniques into action. The updated second edition incorporates new scientific research on why some teens have more problems with self-control than others. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",@
25,25,2000,Your anxious child: How parents and teachers can relieve anxiety in children,"Dacey, J.S. and L.B. Fiore","Discusses signs of excessive anxiety, a condition that causes deep frustration and which often leads to lifelong unhealthy patterns of behavior. Although medications can be helpful, studies have shown that nearly 90 percent of all anxious children can significantly benefit by learning coping skills. This book empowers parents to teach children essential skills in engaging and creative ways. Activities provided throughout the book help children learn how to alleviate stress, build courage and trust, and become innovative problem solvers. The anxiety relief program provided offers physical, mental, and spiritual strategies for (C)alming the nervous system; activities designed to help children (O)riginate a creative plan to relieve anxiety; approaches to help children (P)ersist in the face of obstacles and failures; and effective ways for parents and children to (E)valuate and refine plans (COPE). The COPE program has been used successfully with children for the past 15 years. Each step includes field-tested activities that are easy and fun to do, suit a range of ages, and can be individually tailored. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",@
26,26,2009,Your advisor and department chair: Key figures in your early career,"Papini, D.R.","Welcome to the professoriate. If you are like most newly minted scholars you may expect your career to burst instantly forward and upward as you begin to apply your considerable skills and abilities to the classroom and laboratory. And if you are like me, somewhere between 8 and 12 weeks into your first academic position you will find yourself sitting all alone in your office late on a Friday afternoon writing lectures in an effort to stay ahead of your classes and wondering aloud to yourself, ""Is this all there is?"" No travel to exotic locations? No standing ovations after every lecture? No beating down of the door to your office to obtain your latest preprint or reprint? Sadly, no! Your growth and development as a scholar will likely mirror the evolution of science (Kuhn, 1962), consisting of small incremental gains in knowledge, understanding, and wisdom about how best to teach, learn, and balance your research and service activities (Toews & Yazedjian, 2007). Your career will take direction from your own personal and professional preferences as you seek out those institutional values and settings that offer a good fit to what it is you want out of your profession, because a good fit offers the greatest probability that you will successfully adapt to an academic environment that best fits your own perceived strengths and interests. It may take you some time to come to this realization about what type of institution best fits what you want out of your professional life. Many new doctorates are not sure what they want out of their professional life, many think that they know what they want, and others begin where the job market dictates. Your advisor may play a significant role in helping you identify promising faculty positions, or they may leave that process entirely up to you. Let me begin by assuring you that most advisors and department chairs are truly concerned about your well-being and have your best interests at the forefront of their interactions with you. Some advisors will have invested hundreds of hours in getting to know you and your skill set and will be able to make valuable suggestions about the type of institution that is likely to provide the best possible fit. Other advisors may view your placement as a reflection on them and the quality of their mentoring, regardless of your skills and personal preferences for your professional life. These advisors want to help you find the best position possible-the higher up the Carnegie Classification the better! The department chair at the institution you interview may also have his or her own agenda. Exemplary department leaders recognize the importance of person-environment fit. Other chairs may be desperate to fill a position or risk losing it during the next budget cycle. The best advice that I can give you is to take responsibility for your own future. Seek out advice from trusted advisors, but recognize that you know yourself better than anyone else and make decisions accordingly. Listen to what a department chair is telling you during the interview, but understand that this is essentially a date and everyone is putting forth their best appearance. In the end, you will have to live with the decision you make about where to begin your professional career. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",@
